Wbias,Rd,Wn1,Wn2,Bandwidth,PowerConsumption,VoltageGain
6.138263627886772e-06,835.873320698738,1.4886240541934965e-05,9.797599375247955e-06,201000000.0,0.00124,13.81
7.738214313983917e-06,1680.9103339910507,8.515412628650665e-06,6.101098716259003e-06,108000000.0,0.00108,14.89
7.478014156222344e-06,953.9455249905585,9.697061777114867e-06,8.586491889320314e-06,200000000.0,0.00117,11.27
6.927733613178134e-06,1372.836109250784,6.97049868106842e-06,8.146380554884673e-06,114000000.0,0.000984,14.5
8.566076382994651e-06,1153.9976820349693,1.5005612313747406e-05,1.0145026490092277e-05,146000000.0,0.00156,16.85
6.433847486972809e-06,1453.4114003181458,8.532135009765624e-06,7.304499298334122e-06,112000000.0,0.00102,15.3
6.299800772219897e-06,786.0605418682097,1.1806461729109286e-05,8.501422078348696e-06,234000000.0,0.00116,11.37
5.19927442073822e-06,592.6072895526885,6.373671948909759e-06,8.628333862870932e-06,324000000.0,0.000833,5.24
6.398630384355784e-06,930.6467846035956,8.073290050029754e-06,8.004461705684662e-06,175000000.0,0.00102,11.62
7.499524801969528e-06,859.9654138088225,1.0017058849334716e-05,8.613464269787073e-06,237000000.0,0.00119,10.24
5.097908914089203e-06,1614.3095418810844,1.4702731013298033e-05,9.520987153053284e-06,107000000.00000001,0.00107,18.27
4.51618230342865e-06,1587.9256129264832,1.5405999422073362e-05,9.913096323609352e-06,105000000.00000001,0.001,18.47
7.797365069389344e-06,1545.6076189875603,9.306377813220024e-06,6.147436141967774e-06,119000000.0,0.00114,14.449999999999998
8.230000287294388e-06,604.4805347919463,1.1503444503992795e-05,6.852222487330437e-06,328000000.0,0.00133,8.12
4.619015246629715e-06,1752.7241110801697,1.216758508980274e-05,8.415430972352623e-06,97500000.0,0.000944,18.19
6.50650554522872e-06,930.5420666933059,1.4645188450813293e-05,9.746868595480919e-06,176000000.0,0.00129,14.83
8.32168784737587e-06,567.9424554109572,6.176256716251373e-06,8.990090802311898e-06,322000000.0,0.00105,5.78
7.024403493851423e-06,2016.8187022209167,1.2847572475671767e-05,7.776732549071312e-06,316000000.0,0.00117,4.92
6.4700665958225725e-06,1008.9447796344756,7.780107796192169e-06,7.95498064160347e-06,158000000.0,0.00101,12.210000000000003
8.546633049845696e-06,562.0483458042144,1.3898872777819632e-05,9.127454437315465e-06,324000000.0,0.00151,10.23
7.386742606759072e-06,1395.0450234115124,9.11071103811264e-06,7.704739600419999e-06,124000000.00000001,0.00113,14.71
7.681941568851472e-06,1367.1598732471466,7.0377206206321706e-06,8.246701609343291e-06,117000000.0,0.00103,14.25
7.045645449310541e-06,1253.1607744749635,1.3428397879004477e-05,9.414181679487228e-06,137000000.0,0.00132,16.38
7.765281960368156e-06,1342.7152931690216,8.255606949329376e-06,7.859914787113666e-06,129000000.00000001,0.00112,14.04
5.31840580701828e-06,1420.9022000432014,6.3009569644927975e-06,8.927076514810324e-06,111000000.0,0.000818,13.93
6.2067381776869294e-06,1038.781426846981,9.500458732247352e-06,7.760092586278915e-06,158000000.0,0.00106,12.950000000000001
8.365709334611894e-06,800.6020933389663,7.540951848030089e-06,8.325055293738842e-06,237000000.0,0.00111,8.87
8.024019107222557e-06,1202.4580519646406,1.221728204935789e-05,7.133183628320694e-06,164000000.0,0.00134,13.419999999999998
8.521272227168083e-06,1150.5030766129494,1.4487403392791747e-05,8.88589696958661e-06,151000000.0,0.00152,15.97
4.649032384157181e-06,891.0156711935996,7.844452083110808e-06,7.761137075722218e-06,198000000.0,0.000825,9.8
6.10941955447197e-06,1349.5357483625412,6.44761300086975e-06,8.91854577884078e-06,116000000.0,0.000896,13.820000000000002
4.434631884098053e-06,1426.0809421539307,6.828256487846374e-06,8.108799144625665e-06,112000000.0,0.00077,13.9
8.869044899940492e-06,979.0419489145278,1.5890004336833954e-05,7.625753104686737e-06,259999999.99999997,0.00158,11.21
7.731274232268334e-06,1186.8385430425406,8.056286394596098e-06,8.073096923530102e-06,145000000.0,0.00111,12.96
5.152385383844376e-06,1613.9156147837639,7.2280521988868705e-06,8.0800370387733e-06,101000000.00000001,0.00085,15.610000000000001
6.976741310209036e-06,1246.582823107019,6.227706968784332e-06,9.491440311074257e-06,124000000.00000001,0.0009489999999999999,13.21
6.900484666228294e-06,675.8019924163817,5.9870010614395135e-06,9.232456840574741e-06,273000000.0,0.000936,6.85
7.440577492117882e-06,1299.8141422867775,1.1698051542043685e-05,8.818032145500182e-06,133999999.99999999,0.00129,15.789999999999997
6.430403832346201e-06,1090.5908308923244,1.0271745532751083e-05,7.91894145309925e-06,157000000.0,0.00111,13.239999999999998
8.055735424160958e-06,1768.962562084198,1.2845225572586058e-05,9.87602187693119e-06,308000000.0,0.0013,7.179999999999999
7.7484772503376e-06,1170.2491529285908,1.0710307516157626e-05,8.583816672675312e-06,150000000.0,0.00127,14.359999999999998
