VDD,Vgate,Wn,Rd,Bandwidth,PowerConsumption,VoltageGain
1.460891166329384,0.6937991827726365,8.126254364848139e-06,825.4991024732589,296000000.0,0.0009440000000000002,10.09
1.557406085729599,0.7684424154460431,7.214596107602121e-06,1062.128275632858,249000000.0,0.00139,11.96
1.3341740906238557,0.6135701715946198,5.5471191704273236e-06,1571.3108628988264,127000000.00000001,0.000233,10.050000000000002
1.5055071389302612,0.6561775714159013,8.331242680549623e-06,1361.3231778144834,177000000.0,0.000642,12.87
1.583322858810425,0.8540143489837647,4.019747555255891e-06,1162.5079363584516,213000000.0,0.0013,9.29
1.3039638698101046,0.6133813977241517,9.15796971321106e-06,1742.2580830752847,129000000.0,0.00032799999999999995,13.259999999999998
1.5881599813699723,0.6495421528816224,6.0545916706323635e-06,2242.911972105503,108000000.00000001,0.00045900000000000004,14.04
1.5638428062200547,0.6387538075447083,6.925264004617931e-06,2251.4684796333313,109000000.00000001,0.000444,14.4
1.4223450958728792,0.6824447661638261,3.273190706968308e-06,1732.5291987508533,115999999.99999997,0.00033400000000000004,9.96
1.3832570761442187,0.680304291844368,8.627073884010317e-06,2147.693030536175,134999999.99999997,0.000595,15.27
1.414414805173874,0.6304241001605988,6.789774369448425e-06,2504.8476010560985,96200000.0,0.0003240000000000001,14.29
1.5982463836669922,0.8003067880868913,7.938295081257822e-06,816.9137984514235,314000000.0,0.00199,11.49
1.4141282558441164,0.6311119258403779,6.787702340632678e-06,2416.2918627262115,98899999.99999997,0.0003290000000000001,14.13
1.3927881002426148,0.6207827389240266,4.692094802856446e-06,2221.6381803154945,94300000.00000001,0.000222,11.57
1.7583087623119356,0.847142431139946,5.68618130683899e-06,1185.2600723505018,215000000.00000003,0.00191,12.19
1.3587430089712145,0.7147235691547394,3.4645986258983617e-06,2049.7031062841415,106000000.00000003,0.000378,11.47
1.4585432678461077,0.6333835870027543,3.2912132740020757e-06,2131.0880705714226,93099999.99999999,0.00020899999999999998,9.98
1.4695202194154264,0.674635997414589,7.80215273797512e-06,655.217945575714,379000000.0,0.0007990000000000001,6.949999999999999
1.6116293281316758,0.7454556360840798,2.9684830904006965e-06,2020.1546996831892,110000000.0,0.000558,11.36
1.3342440426349642,0.7216126777231694,3.3996697366237645e-06,1861.0869739204643,113999999.99999999,0.000389,10.93
1.2729498267173769,0.5956309676170349,3.017504364252091e-06,1023.0918526649474,174000000.0,0.00011800000000000008,1.8899999999999995
1.4319386512041092,0.7440442979335785,8.639646768569948e-06,659.1257750988005,356000000.0,0.0014099999999999998,10.26
1.582128292322159,0.8391532748937608,6.314066328108312e-06,1584.952428936958,428000000.0,0.00136,4.26
1.4487981006503106,0.7147023886442185,8.421561419963839e-06,637.7888023853301,393000000.0,0.00119,8.56
1.3683069795370104,0.6215967625379563,6.91907086595893e-06,1210.085481405258,170999999.99999997,0.0003550000000000001,10.23
